Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
82,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
82,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
82,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
83,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
83,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
83,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
83,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
84,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
84,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
84,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
84,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
85,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
85,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
85,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
85,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
86,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
86,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
86,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
86,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
87,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
87,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
87,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
87,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
88,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
88,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
88,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
88,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
89,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
89,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
89,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
89,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
90,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
90,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
90,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
90,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
91,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
91,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
91,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
91,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
92,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
92,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
92,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
92,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
93,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
93,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
93,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
93,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
94,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
94,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
94,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
94,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
95,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
95,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
95,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
95,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
96,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
96,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
96,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
96,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
97,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
97,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
97,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
97,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
98,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
98,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
98,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
98,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
99,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
99,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
99,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
99,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
100,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
100,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
100,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
100,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
